antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"targtype1_txt_Military, weaptype1_txt_Unknown",attacktype1_txt_Unknown,0.014695279347903859,0.040046012185523776,0.012262577673082321,0.8344569288389513,20.83745380122016,1.0,0.011674090337246487,5.798817075711881,0.9662081909550405,0.2886758227520083,0.8275510355054204,0.5703345666734614
attacktype1_txt_Unknown,"targtype1_txt_Military, weaptype1_txt_Unknown",0.040046012185523776,0.014695279347903859,0.012262577673082321,0.3062122045079714,20.83745380122016,1.0,0.011674090337246487,1.4201816853139166,0.9917240865347722,0.2886758227520083,0.2958647401660019,0.5703345666734614
"weaptype1_txt_Incendiary, targtype1_txt_Business",attacktype1_txt_Facility/Infrastructure Attack,0.015548376089074308,0.056997870010072046,0.013913732655992868,0.8948672566371682,15.700012236931606,1.0,0.013027508336800098,8.969633054618003,0.9510937453778778,0.2373040458086924,0.8885127190922095,0.5694884757500248
attacktype1_txt_Facility/Infrastructure Attack,"weaptype1_txt_Incendiary, targtype1_txt_Business",0.056997870010072046,0.015548376089074308,0.013913732655992868,0.24410969486288142,15.700012236931606,1.0,0.013027508336800098,1.302373660861209,0.992898904839989,0.2373040458086924,0.2321712039701888,0.5694884757500248
weaptype1_txt_Incendiary,"attacktype1_txt_Facility/Infrastructure Attack, region_txt_Western Europe",0.06128536911569643,0.014480629200125487,0.013484432360436125,0.22002694207453974,15.194570555859066,1.0,0.012596981654878903,1.2635300165638,0.9951767951252831,0.21650759985860724,0.20856648683382775,0.5756159035724275
"attacktype1_txt_Facility/Infrastructure Attack, region_txt_Western Europe",weaptype1_txt_Incendiary,0.014480629200125487,0.06128536911569643,0.013484432360436125,0.9312048650703154,15.194570555859064,1.0,0.012596981654878903,13.645072894235362,0.9479134003651724,0.21650759985860724,0.9267134732257482,0.5756159035724275
attacktype1_txt_Facility/Infrastructure Attack,"weaptype1_txt_Incendiary, region_txt_Western Europe",0.056997870010072046,0.01681976542591543,0.013484432360436125,0.2365778292777134,14.065465438251644,1.0,0.012525741557089893,1.28785915877172,0.9850496110079132,0.2234993614303959,0.22351757706662762,0.5191396999791708
"weaptype1_txt_Incendiary, region_txt_Western Europe",attacktype1_txt_Facility/Infrastructure Attack,0.01681976542591543,0.056997870010072046,0.013484432360436125,0.8017015706806282,14.065465438251643,1.0,0.012525741557089893,4.755469487209932,0.9447951135110186,0.2234993614303959,0.7897158203433858,0.5191396999791708
weaptype1_txt_Incendiary,"attacktype1_txt_Facility/Infrastructure Attack, targtype1_txt_Business",0.06128536911569643,0.016451007479732074,0.013913732655992868,0.22703188145487202,13.800484969360037,1.0,0.012905526590272404,1.2724315129212482,0.9880945154692873,0.21800620903759918,0.21410308543506593,0.5363998483888612
"attacktype1_txt_Facility/Infrastructure Attack, targtype1_txt_Business",weaptype1_txt_Incendiary,0.016451007479732074,0.06128536911569643,0.013913732655992868,0.8457678153228504,13.800484969360037,1.0,0.012905526590272404,6.086373170744429,0.9430529494934569,0.21800620903759918,0.8356985396809495,0.5363998483888612
"weaptype1_txt_Unknown, region_txt_South Asia",attacktype1_txt_Unknown,0.02084858358421716,0.040046012185523776,0.011101265335101904,0.5324709609292502,13.29647902174222,1.0,0.010266362702837432,2.053249975065633,0.9444832580508219,0.22294683320437714,0.5129672411329094,0.4048418575949164
attacktype1_txt_Unknown,"weaptype1_txt_Unknown, region_txt_South Asia",0.040046012185523776,0.02084858358421716,0.011101265335101904,0.2772127542605827,13.29647902174222,1.0,0.010266362702837432,1.354688287857242,0.9633712986670605,0.22294683320437714,0.26182280531727703,0.4048418575949164
weaptype1_txt_Incendiary,attacktype1_txt_Facility/Infrastructure Attack,0.06128536911569643,0.056997870010072046,0.045759008426394264,0.7466546924113157,13.099694642613398,1.0,0.04226587292401852,3.722200892392005,0.983965001011592,0.6309478637019048,0.7313417440622427,0.7747371569433944
attacktype1_txt_Facility/Infrastructure Attack,weaptype1_txt_Incendiary,0.056997870010072046,0.06128536911569643,0.045759008426394264,0.8028196214754731,13.099694642613398,1.0,0.04226587292401852,4.760689871419122,0.9794912581348417,0.6309478637019048,0.78994640965724,0.7747371569433944
attacktype1_txt_Unknown,"region_txt_Middle East & North Africa, weaptype1_txt_Unknown",0.040046012185523776,0.02049633718786291,0.01040227639233644,0.259758108851017,12.673391663601004,1.0,0.009581479823552678,1.32322106398461,0.9595194517970654,0.2074643249176729,0.24426837871768436,0.38363845292174914
"region_txt_Middle East & North Africa, weaptype1_txt_Unknown",attacktype1_txt_Unknown,0.02049633718786291,0.040046012185523776,0.01040227639233644,0.5075187969924813,12.673391663601004,1.0,0.009581479823552678,1.9492195477759597,0.940368636798874,0.2074643249176729,0.48697415786693177,0.38363845292174914
weaptype1_txt_Unknown,"attacktype1_txt_Unknown, targtype1_txt_Military",0.08342185358658381,0.012262577673082321,0.012262577673082321,0.146994787886785,11.987266609487367,1.0,0.011239610713844337,1.1579500433296535,1.0,0.146994787886785,0.13640488571983003,0.5734973939433925
"attacktype1_txt_Unknown, targtype1_txt_Military",weaptype1_txt_Unknown,0.012262577673082321,0.08342185358658381,0.012262577673082321,1.0,11.987266609487365,1.0,0.011239610713844337,inf,0.9279572948184306,0.146994787886785,1.0,0.5734973939433925
"region_txt_Middle East & North Africa, attacktype1_txt_Unknown",weaptype1_txt_Unknown,0.010407780242279474,0.08342185358658381,0.01040227639233644,0.9994711792702274,11.980927494410958,1.0,0.009534040072803661,1733.2492748679206,0.9261734172596242,0.12468663412059638,0.9994230489436805,0.5620830198653703
weaptype1_txt_Unknown,"region_txt_Middle East & North Africa, attacktype1_txt_Unknown",0.08342185358658381,0.010407780242279474,0.01040227639233644,0.1246948604605133,11.980927494410958,1.0,0.009534040072803661,1.130568272772124,0.9999518442076718,0.12468663412059638,0.11548906502742559,0.5620830198653703
"attacktype1_txt_Unknown, targtype1_txt_Private Citizens & Property",weaptype1_txt_Unknown,0.01027568784364663,0.08342185358658381,0.01026468014376056,0.9989287627209428,11.974425402621286,1.0,0.009407463216966432,855.6256996769933,0.9260040141722129,0.12302922356355961,0.9988312646518478,0.5609871101326559
weaptype1_txt_Unknown,"attacktype1_txt_Unknown, targtype1_txt_Private Citizens & Property",0.08342185358658381,0.01027568784364663,0.01026468014376056,0.12304545754436895,11.974425402621286,1.0,0.009407463216966432,1.1285924916757333,0.9999023973753349,0.12302922356355961,0.11394058761174225,0.5609871101326559
weaptype1_txt_Unknown,attacktype1_txt_Unknown,0.08342185358658381,0.040046012185523776,0.03999647753603646,0.47944843966484135,11.972439039464636,1.0,0.036655764970769146,1.8441093274149576,0.9998872808548919,0.4791639192931559,0.45773280079777934,0.7391057481446802
attacktype1_txt_Unknown,weaptype1_txt_Unknown,0.040046012185523776,0.08342185358658381,0.03999647753603646,0.998763056624519,11.972439039464636,1.0,0.036655764970769146,741.002510367151,0.9547070402768599,0.4791639192931559,0.9986504769066106,0.7391057481446802
"attacktype1_txt_Unknown, region_txt_South Asia",weaptype1_txt_Unknown,0.011123280734874045,0.08342185358658381,0.011101265335101904,0.9980207817911925,11.963541193140038,1.0,0.010173340638234774,463.10110847537607,0.9267208854971514,0.13303871776268056,0.9978406443394355,0.5655473045328595
weaptype1_txt_Unknown,"attacktype1_txt_Unknown, region_txt_South Asia",0.08342185358658381,0.011123280734874045,0.011101265335101904,0.13307382727452663,11.963541193140038,1.0,0.010173340638234774,1.1406700482421244,0.9998195053098659,0.13303871776268056,0.12332229504834427,0.5655473045328595
"targtype1_txt_Private Citizens & Property, weaptype1_txt_Unknown",attacktype1_txt_Unknown,0.02385918950305739,0.040046012185523776,0.01026468014376056,0.43021914648212223,10.743120800368784,1.0,0.009309214750184404,1.6847775454152851,0.9290843783578955,0.19136055817771394,0.4064498291057722,0.3432706507561793
attacktype1_txt_Unknown,"targtype1_txt_Private Citizens & Property, weaptype1_txt_Unknown",0.040046012185523776,0.02385918950305739,0.01026468014376056,0.25632215503023636,10.743120800368782,1.0,0.009309214750184404,1.3125855733091396,0.9447506751600658,0.19136055817771394,0.23814491006562327,0.3432706507561793
"weaptype1_txt_Firearms, targtype1_txt_Military","region_txt_Central America & Caribbean, attacktype1_txt_Armed Assault",0.06397675173784062,0.024002289601576302,0.014062336604454816,0.2198038540949759,9.157620283047528,1.0,0.012526748081475015,1.250964536957909,0.9516871795330301,0.19024571854058078,0.20061682769057843,0.40283932672646067
"region_txt_Central America & Caribbean, attacktype1_txt_Armed Assault","weaptype1_txt_Firearms, targtype1_txt_Military",0.024002289601576302,0.06397675173784062,0.014062336604454816,0.5858747993579454,9.157620283047526,1.0,0.012526748081475015,2.2602421847570744,0.9127084168592108,0.19024571854058078,0.557569535360443,0.40283932672646067
"targtype1_txt_Military, attacktype1_txt_Armed Assault","weaptype1_txt_Firearms, region_txt_Central America & Caribbean",0.06110374206757627,0.03125636382649664,0.014062336604454816,0.23013871374527115,7.36293943283889,1.0,0.012152455811230244,1.2583353046446981,0.9204261592610999,0.1796007310558133,0.20529925822723485,0.34002093285432244
"weaptype1_txt_Firearms, region_txt_Central America & Caribbean","targtype1_txt_Military, attacktype1_txt_Armed Assault",0.03125636382649664,0.06110374206757627,0.014062336604454816,0.44990315196337377,7.362939432838889,1.0,0.012152455811230244,1.7067835623553886,0.892067461776423,0.1796007310558133,0.41410263020111115,0.34002093285432244
"region_txt_South America, attacktype1_txt_Bombing/Explosion",targtype1_txt_Utilities,0.04974929963509475,0.03314968820690073,0.010088556945583436,0.20278791901759044,6.117340161750793,1.0,0.008439383174168365,1.2127893378154073,0.8803258557093723,0.13855922594300402,0.17545449253264694,0.2535606538471648
targtype1_txt_Utilities,"region_txt_South America, attacktype1_txt_Bombing/Explosion",0.03314968820690073,0.04974929963509475,0.010088556945583436,0.30433338867673915,6.117340161750792,1.0,0.008439383174168365,1.3659570330066406,0.8652117610488792,0.13855922594300402,0.26791255080778337,0.2535606538471648
"weaptype1_txt_Firearms, region_txt_Western Europe",attacktype1_txt_Assassination,0.020094556142021346,0.10629035009989488,0.012416685471487306,0.6179129005751849,5.813443082974623,1.0,0.010280828064049865,2.339020739631028,0.8449640769227093,0.10894866470275752,0.5724706570332735,0.36736572949223206
attacktype1_txt_Assassination,"weaptype1_txt_Firearms, region_txt_Western Europe",0.10629035009989488,0.020094556142021346,0.012416685471487306,0.11681855840927921,5.813443082974623,1.0,0.010280828064049865,1.1095177023795313,0.9264584968211355,0.10894866470275752,0.09870748537373819,0.36736572949223206
weaptype1_txt_Unknown,attacktype1_txt_Hostage Taking (Kidnapping),0.08342185358658381,0.06141195766438624,0.027045918620074744,0.3242066371973346,5.2792102634003335,1.0,0.021922819279330832,1.3888683937987796,0.8843520125780806,0.22961543853090977,0.27998937518850264,0.38230407142175393
attacktype1_txt_Hostage Taking (Kidnapping),weaptype1_txt_Unknown,0.06141195766438624,0.08342185358658381,0.027045918620074744,0.4404015056461732,5.2792102634003335,1.0,0.021922819279330832,1.6379210374248716,0.8636139519194412,0.22961543853090977,0.38946995786061017,0.38230407142175393
"weaptype1_txt_Firearms, targtype1_txt_Government (General)",attacktype1_txt_Assassination,0.04548931977918554,0.10629035009989488,0.02232361536895058,0.49074410163339377,4.61701463182855,1.0,0.017488539643814874,1.7549323488772555,0.8207449563093158,0.17244164788912034,0.43017746488076014,0.35038447832291064
attacktype1_txt_Assassination,"weaptype1_txt_Firearms, targtype1_txt_Government (General)",0.10629035009989488,0.04548931977918554,0.02232361536895058,0.21002485501242749,4.61701463182855,1.0,0.017488539643814874,1.2082793823036424,0.8765820382740341,0.17244164788912034,0.17237684045104518,0.35038447832291064
"targtype1_txt_Private Citizens & Property, attacktype1_txt_Armed Assault","weaptype1_txt_Firearms, region_txt_Sub-Saharan Africa",0.05970576418204534,0.04127337072282061,0.011326923182766345,0.18971238938053098,4.596484029729038,1.0,0.008862665043391484,1.1831930005004372,0.8321250706217594,0.12634293081220455,0.15482934772514267,0.2320744904630352
"weaptype1_txt_Firearms, region_txt_Sub-Saharan Africa","targtype1_txt_Private Citizens & Property, attacktype1_txt_Armed Assault",0.04127337072282061,0.05970576418204534,0.011326923182766345,0.2744365915455394,4.596484029729037,1.0,0.008862665043391484,1.2959504639586181,0.8161267075424431,0.12634293081220455,0.2283655681210269,0.2320744904630352
"attacktype1_txt_Armed Assault, region_txt_South Asia","weaptype1_txt_Firearms, targtype1_txt_Police",0.06276590475037289,0.059348013935748054,0.017083950223181116,0.2721851981760786,4.586256221998507,1.0,0.013358918433366151,1.292433162539365,0.8343243553227514,0.1626578630194414,0.22626559811015223,0.28002285968342094
