country_txt,event_count
Iraq,27011
Afghanistan,16963
Pakistan,15295
India,13639
Colombia,8825
Philippines,8077
Peru,6110
Yemen,5673
United Kingdom,5467
El Salvador,5320
Nigeria,5258
Somalia,5136
Turkey,4469
Thailand,4176
Spain,3255
United States,3042
Sri Lanka,3040
Syria,2821
Algeria,2751
France,2733
