decade,region_txt,country_txt,attacktype1_txt,targtype1_txt,weaptype1_txt,casualty_level,support,total_killed,total_wounded,total_casualties,avg_casualties_per_event,cuboid_level
1990s,South America,Chile,ALL,ALL,ALL,ALL,454,39.0,107.0,146.0,0.32158590308370044,3
1990s,ALL,ALL,ALL,Religious Figures/Institutions,ALL,0_None,454,0.0,0.0,0.0,0.0,3
2010s,ALL,ALL,ALL,Journalists & Media,ALL,0_None,454,0.0,0.0,0.0,0.0,3
2010s,ALL,ALL,ALL,Violent Political Party,ALL,1_Low_1_5,454,464.0,399.0,863.0,1.9008810572687225,3
ALL,Central America & Caribbean,Guatemala,Bombing/Explosion,ALL,ALL,ALL,454,446.0,542.0,988.0,2.1762114537444934,3
ALL,Middle East & North Africa,ALL,ALL,Religious Figures/Institutions,ALL,1_Low_1_5,454,488.0,439.0,927.0,2.041850220264317,3
ALL,ALL,Spain,Assassination,ALL,Firearms,ALL,454,455.0,114.0,569.0,1.2533039647577093,3
ALL,ALL,Iraq,ALL,ALL,Unknown,0_None,454,0.0,0.0,0.0,0.0,3
ALL,ALL,South Africa,ALL,ALL,Firearms,1_Low_1_5,454,720.0,200.0,920.0,2.026431718061674,3
ALL,ALL,ALL,Hostage Taking (Barricade Incident),ALL,Firearms,0_None,454,0.0,0.0,0.0,0.0,3
ALL,South America,Argentina,Bombing/Explosion,ALL,ALL,ALL,453,203.0,624.0,827.0,1.82560706401766,3
ALL,ALL,Algeria,ALL,Private Citizens & Property,ALL,1_Low_1_5,453,873.0,249.0,1122.0,2.4768211920529803,3
ALL,ALL,Nepal,ALL,ALL,Explosives,0_None,453,0.0,0.0,0.0,0.0,3
1990s,Middle East & North Africa,ALL,ALL,Government (General),ALL,ALL,452,497.0,705.0,1202.0,2.65929203539823,3
2000s,Sub-Saharan Africa,ALL,ALL,ALL,Explosives,ALL,452,1493.0,2350.0,3843.0,8.502212389380531,3
ALL,Southeast Asia,Philippines,Facility/Infrastructure Attack,ALL,ALL,ALL,452,84.0,87.0,171.0,0.37831858407079644,3
ALL,South America,ALL,Armed Assault,ALL,Incendiary,ALL,452,127.0,129.0,256.0,0.5663716814159292,3
ALL,South America,ALL,ALL,Military,ALL,0_None,452,0.0,0.0,0.0,0.0,3
ALL,Western Europe,ALL,ALL,Government (General),ALL,1_Low_1_5,452,273.0,399.0,672.0,1.4867256637168142,3
ALL,ALL,Turkey,ALL,Business,ALL,0_None,452,0.0,0.0,0.0,0.0,3
2000s,ALL,ALL,ALL,Educational Institution,ALL,0_None,451,0.0,0.0,0.0,0.0,3
ALL,South America,ALL,ALL,Business,Unknown,ALL,451,198.0,114.0,312.0,0.6917960088691796,3
ALL,ALL,ALL,Assassination,Terrorists/Non-State Militia,Firearms,ALL,451,625.0,152.0,777.0,1.7228381374722839,3
1980s,ALL,Lebanon,ALL,ALL,ALL,1_Low_1_5,450,390.0,498.0,888.0,1.9733333333333334,3
ALL,Central America & Caribbean,El Salvador,ALL,Government (General),ALL,ALL,450,240.0,153.0,393.0,0.8733333333333333,3
ALL,Western Europe,ALL,Assassination,ALL,Explosives,ALL,450,203.0,314.0,517.0,1.1488888888888888,3
ALL,ALL,Guatemala,Assassination,ALL,ALL,1_Low_1_5,450,587.0,61.0,648.0,1.44,3
2000s,ALL,Afghanistan,ALL,ALL,ALL,0_None,449,0.0,0.0,0.0,0.0,3
2010s,ALL,Nepal,ALL,ALL,ALL,0_None,449,0.0,0.0,0.0,0.0,3
2010s,ALL,ALL,Assassination,Military,ALL,ALL,449,541.0,454.0,995.0,2.2160356347438754,3
ALL,Central America & Caribbean,El Salvador,Assassination,ALL,ALL,ALL,449,678.0,70.0,748.0,1.665924276169265,3
ALL,South Asia,ALL,Unknown,Private Citizens & Property,ALL,ALL,449,1518.0,1389.0,2907.0,6.474387527839643,3
ALL,Middle East & North Africa,ALL,ALL,Government (Diplomatic),Explosives,ALL,449,524.0,1644.0,2168.0,4.828507795100223,3
